,sell_date,month,n_stocks,n_with_returns,portfolio_return,benchmark_return,excess_return,cum_strat,cum_bm,cum_excess,cross_vol_20,mom_20,vol_20,plan_b_return,plan_b_excess,active
2025-04-01,2025-05-06,2025-04,30,30,0.00030273570507182525,0.0021576416500701523,-0.001854905944998327,0.00030273570507177716,0.0021576416500701523,-0.0018549059449983751,0.01688244685997219,0.00483538335491529,0.21480108963742414,0.0021576416500701523,0.0,False
2025-05-06,2025-06-03,2025-05,30,30,0.037379243735235386,-0.02308575318777728,0.060464996923012666,0.03769329547201439,-0.020977922320308262,0.05849793409575743,0.0209659128454874,0.003925211596562672,0.31050544227926585,-0.02308575318777728,0.0,False
2025-06-03,2025-07-01,2025-06,30,30,0.025569697907903963,0.03023315250284697,-0.004663454594943009,0.06422679955829103,0.008621001457835842,0.0535616770412608,0.017306874298982537,-0.014019252206682764,0.12275221277991649,0.03023315250284697,0.0,False
2025-07-01,2025-08-01,2025-07,30,30,0.03266387743879944,0.060784089773001204,-0.028120212334201762,0.09898857330614885,0.06992911095738341,0.023935298975682695,0.017050723084436684,0.03023315250284697,0.12347162173136376,0.060784089773001204,0.0,False
2025-08-01,2025-09-01,2025-08,30,30,0.0078003528427983155,0.30677457968119226,-0.2989742268383939,0.10756107194814035,0.39815616426000644,-0.2821949653681117,0.020879446668110434,0.058876084149312335,0.13432730399662282,0.30677457968119226,0.0,False
2025-09-01,2025-10-09,2025-09,30,30,-0.004131808478563963,0.03414052814315527,-0.03827233662171923,0.10298484172053768,0.4458899541344512,-0.30966704128230815,0.02587478346419615,0.3026472239917777,0.2914518464795319,0.03414052814315527,0.0,False
2025-10-09,2025-11-03,2025-10,30,30,0.06829001555311143,-0.019061185779462586,0.08735120133257401,0.17830769371647937,0.4183295771020359,-0.24936562801884743,0.02628924774744822,0.04932545679951916,0.34574588310466947,-0.019061185779462586,0.0,False
2025-11-03,2025-12-01,2025-11,30,30,-0.005214836962119803,-0.007805483531083679,0.0025906465689638763,0.17216301120253652,0.40725882894631704,-0.24742099965852815,0.024599832071198417,0.003743556504472334,0.32037971976711854,-0.007805483531083679,0.0,False
2025-12-01,2026-01-05,2025-12,30,30,0.00040385059921460944,0.1498651511639062,-0.1494613005646916,0.17263638993698782,0.6181578860730985,-0.35990243582724,0.018232095034736065,-0.007805483531083679,0.2455521025627883,0.1498651511639062,0.0,False
2026-01-05,2026-02-02,2026-01,30,30,0.005990101925519616,-0.022579702907144616,0.028569804832664233,0.17966060143428364,0.5816203617487148,-0.3416149733449606,0.021216657267574844,0.15530957137130907,0.4447031368384288,-0.022579702907144616,0.0,False
2026-02-02,2026-03-02,2026-02,30,30,0.03194048298917988,0.015164257222918254,0.01677622576626163,0.2173395308074011,0.6056044597432773,-0.3305697574966695,0.023377360633566824,-0.022579702907144616,0.14512244217693793,0.03194048298917988,0.01677622576626163,True
2026-03-02,,2026-03,30,0,0.0,0.0,0.0,0.2173395308074011,0.6056044597432773,-0.3305697574966695,0.02479634518897414,-5.597187803552117e-05,0.17366468604103966,0.0,0.0,True
